0,1,2,3
61.0,5.2,60.9,5.2
60.9,5.2,60.8,5.3
60.8,5.3,60.6,5.3
60.6,5.3,60.5,5.4
60.5,5.4,60.4,5.4
60.4,5.4,60.3,5.5
60.3,5.5,60.1,5.5
60.1,5.5,60.0,5.6
60.0,5.6,59.9,5.6
59.9,5.6,59.8,5.7
59.8,5.7,59.6,5.7
59.6,5.7,59.5,5.8
59.5,5.8,59.4,5.8
59.4,5.8,59.3,5.9
30.9,6.1,31.0,6.2
31.0,6.2,31.1,6.1
31.1,6.1,31.1,5.7
31.1,5.7,31.0,5.6
31.0,5.6,30.9,5.7
58.2,6.4,58.3,6.5
58.3,6.5,58.5,6.5
58.5,6.5,58.6,6.4
58.6,6.4,58.7,6.4
58.7,6.4,58.8,6.3
58.8,6.3,58.9,6.3
58.9,6.3,59.0,6.2
59.0,6.2,59.2,6.2
59.2,6.2,59.3,6.1
59.3,6.1,59.1,5.9
59.1,5.9,59.0,6.0
59.0,6.0,58.8,6.0
58.8,6.0,58.7,6.1
58.7,6.1,58.6,6.1
58.6,6.1,58.5,6.2
58.5,6.2,58.3,6.2
58.3,6.2,58.2,6.3
31.1,6.5,31.2,6.6
31.2,6.6,31.9,6.6
31.9,6.6,32.0,6.5
32.0,6.5,31.7,6.2
31.7,6.2,31.5,6.2
31.5,6.2,31.4,6.3
31.4,6.3,31.4,6.4
31.4,6.4,31.3,6.4
31.3,6.4,31.3,6.3
31.3,6.3,31.4,6.2
31.4,6.2,31.3,6.1
31.3,6.1,31.1,6.1
31.1,6.1,31.0,6.2
31.0,6.2,31.0,6.3
31.0,6.3,31.1,6.4
58.4,6.7,58.5,6.8
58.5,6.8,58.8,6.8
58.8,6.8,58.9,6.7
58.9,6.7,58.8,6.6
58.8,6.6,58.6,6.6
58.6,6.6,58.5,6.5
58.5,6.5,58.2,6.5
58.2,6.5,58.1,6.6
58.1,6.6,58.2,6.7
23.6,6.9,23.7,7.0
23.7,7.0,23.8,7.0
23.8,7.0,23.9,6.9
23.9,6.9,23.9,6.8
23.9,6.8,23.7,6.6
23.7,6.6,23.7,6.5
23.7,6.5,23.4,6.2
23.4,6.2,23.4,6.1
23.4,6.1,23.3,6.0
23.3,6.0,23.3,5.9
23.3,5.9,23.1,5.7
23.1,5.7,23.1,5.6
23.1,5.6,23.0,5.5
23.0,5.5,22.9,5.6
22.9,5.6,22.9,5.8
22.9,5.8,23.1,6.0
23.1,6.0,23.1,6.1
23.1,6.1,23.2,6.2
23.2,6.2,23.2,6.3
23.2,6.3,23.4,6.5
23.4,6.5,23.4,6.6
23.4,6.6,23.6,6.8
58.6,7.1,58.7,7.2
58.7,7.2,58.8,7.2
58.8,7.2,58.9,7.1
58.9,7.1,58.9,6.9
58.9,6.9,58.8,6.8
58.8,6.8,58.4,6.8
58.4,6.8,58.3,6.9
58.3,6.9,58.4,7.0
58.4,7.0,58.6,7.0
58.5,7.3,58.6,7.4
58.6,7.4,58.9,7.4
58.9,7.4,59.0,7.3
59.0,7.3,58.9,7.2
58.9,7.2,58.6,7.2
58.2,7.6,58.3,7.7
58.3,7.7,58.4,7.6
58.4,7.6,58.3,7.5
24.2,7.7,24.3,7.7
24.3,7.7,24.4,7.6
24.4,7.6,24.2,7.4
24.2,7.4,24.2,7.3
24.2,7.3,24.1,7.2
24.1,7.2,24.1,7.1
24.1,7.1,23.9,6.9
23.9,6.9,23.8,7.0
23.8,7.0,23.8,7.2
23.8,7.2,24.0,7.4
24.0,7.4,24.0,7.5
24.3,7.8,24.4,7.9
24.4,7.9,24.5,7.8
24.5,7.8,24.5,7.7
24.5,7.7,24.4,7.6
24.4,7.6,24.3,7.7
53.9,7.9,54.0,8.0
54.0,8.0,54.5,8.0
54.5,8.0,54.6,7.9
54.6,7.9,54.5,7.8
54.5,7.8,54.0,7.8
53.2,8.0,53.3,8.1
53.3,8.1,53.8,8.1
53.8,8.1,53.9,8.0
53.9,8.0,53.7,7.8
53.7,7.8,53.5,7.8
53.5,7.8,53.4,7.7
53.4,7.7,51.3,7.7
51.3,7.7,51.2,7.8
51.2,7.8,51.3,7.9
51.3,7.9,53.2,7.9
96.3,8.1,96.4,8.2
96.4,8.2,96.5,8.1
96.5,8.1,96.4,8.0
64.0,8.4,64.1,8.4
